SupplierID,PurchaseOrderID,TransactionAmount,IsFinalized,SupplierName,SupplierCategoryID,PersonID,Goods_Category
2,1.0,129790.8,1.0,"Contoso, Ltd.",2,23,Novelty Goods Supplier
4,2.0,8997048.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,3.0,1134579.6,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
7,4.0,17587220.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
10,5.0,14517950.4,1.0,Northwind Electric Cars,3,39,Toy Supplier
12,6.0,2288800.8,1.0,The Phone Company,2,43,Novelty Goods Supplier
4,7.0,4140208.8,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,8.0,272001.6,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
7,9.0,3842546.4,1.0,"Litware, Inc.",5,33,Packaging Supplier
10,10.0,429526.8000000001,1.0,Northwind Electric Cars,3,39,Toy Supplier
12,11.0,8225974.8,1.0,The Phone Company,2,43,Novelty Goods Supplier
4,12.0,2757862.8,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,13.0,108054.0,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
7,14.0,6739693.199999998,1.0,"Litware, Inc.",5,33,Packaging Supplier
10,15.0,5516550.0,1.0,Northwind Electric Cars,3,39,Toy Supplier
12,16.0,1559952.0,1.0,The Phone Company,2,43,Novelty Goods Supplier
4,17.0,3646512.0000000005,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,18.0,119235.6,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
7,19.0,2165302.8,1.0,"Litware, Inc.",5,33,Packaging Supplier
10,20.0,3001500.0,1.0,Northwind Electric Cars,3,39,Toy Supplier
4,21.0,2118024.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,22.0,65206.8,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
7,23.0,1506772.7999999996,1.0,"Litware, Inc.",5,33,Packaging Supplier
10,24.0,515430.0,1.0,Northwind Electric Cars,3,39,Toy Supplier
12,25.0,7981092.0,1.0,The Phone Company,2,43,Novelty Goods Supplier
4,26.0,594504.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,27.0,344660.4,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
7,28.0,985320.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
10,29.0,429526.8000000001,1.0,Northwind Electric Cars,3,39,Toy Supplier
12,30.0,983664.0,1.0,The Phone Company,2,43,Novelty Goods Supplier
7,31.0,4529160.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,32.0,69552.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,33.0,52164.0,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
7,34.0,4388400.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
10,35.0,3529350.0,1.0,Northwind Electric Cars,3,39,Toy Supplier
4,36.0,514188.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,37.0,59616.0,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
7,38.0,211140.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,39.0,1095444.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,40.0,229150.8,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
4,41.0,459540.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
7,42.0,633420.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
4,43.0,1510272.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,44.0,61480.8,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
7,45.0,70380.0,1.0,"Litware, Inc.",5,33,Packaging Supplier
10,46.0,476100.0,1.0,Northwind Electric Cars,3,39,Toy Supplier
4,47.0,3102516.0,1.0,"Fabrikam, Inc.",4,27,Clothing Supplier
5,48.0,122961.6,1.0,Graphic Design Institute,2,29,Novelty Goods Supplier
