Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,Date,Confirmed,Deaths,TransactionYear,TransactionQtr,TransactionMth
Albany,New York,US,42.60060306,-73.97723916,"Albany, New York, US",2020-01-22,0,0,2020,1,1
Allegany,New York,US,42.25748406,-78.02750466,"Allegany, New York, US",2020-01-22,0,0,2020,1,1
Bronx,New York,US,40.85209301,-73.86282755,"Bronx, New York, US",2020-01-22,0,0,2020,1,1
Broome,New York,US,42.15903158,-75.81326086,"Broome, New York, US",2020-01-22,0,0,2020,1,1
Cattaraugus,New York,US,42.24778241,-78.67923096,"Cattaraugus, New York, US",2020-01-22,0,0,2020,1,1
Cayuga,New York,US,42.91261714,-76.55731592,"Cayuga, New York, US",2020-01-22,0,0,2020,1,1
Chautauqua,New York,US,42.227692100000006,-79.36691763,"Chautauqua, New York, US",2020-01-22,0,0,2020,1,1
Chemung,New York,US,42.13891056,-76.7638805,"Chemung, New York, US",2020-01-22,0,0,2020,1,1
Chenango,New York,US,42.49430041,-75.60887553,"Chenango, New York, US",2020-01-22,0,0,2020,1,1
Clinton,New York,US,44.74530905,-73.67875352,"Clinton, New York, US",2020-01-22,0,0,2020,1,1
Columbia,New York,US,42.24819348,-73.63089095,"Columbia, New York, US",2020-01-22,0,0,2020,1,1
Cortland,New York,US,42.59509207,-76.07048931,"Cortland, New York, US",2020-01-22,0,0,2020,1,1
Delaware,New York,US,42.19837623,-74.96709306,"Delaware, New York, US",2020-01-22,0,0,2020,1,1
Dutchess,New York,US,41.764860600000006,-73.74356679,"Dutchess, New York, US",2020-01-22,0,0,2020,1,1
Erie,New York,US,42.76249024,-78.73063652,"Erie, New York, US",2020-01-22,0,0,2020,1,1
Essex,New York,US,44.11630765,-73.77297842,"Essex, New York, US",2020-01-22,0,0,2020,1,1
Franklin,New York,US,44.59040891,-74.29926032,"Franklin, New York, US",2020-01-22,0,0,2020,1,1
Fulton,New York,US,43.11363907,-74.41798804,"Fulton, New York, US",2020-01-22,0,0,2020,1,1
Genesee,New York,US,43.0022601,-78.19135193,"Genesee, New York, US",2020-01-22,0,0,2020,1,1
Greene,New York,US,42.275797,-74.12384884,"Greene, New York, US",2020-01-22,0,0,2020,1,1
Hamilton,New York,US,43.66146647,-74.49721957,"Hamilton, New York, US",2020-01-22,0,0,2020,1,1
Herkimer,New York,US,43.42034246,-74.96145307,"Herkimer, New York, US",2020-01-22,0,0,2020,1,1
Jefferson,New York,US,44.04200959,-75.94653457,"Jefferson, New York, US",2020-01-22,0,0,2020,1,1
Kings,New York,US,40.636182500000004,-73.94935552,"Kings, New York, US",2020-01-22,0,0,2020,1,1
Lewis,New York,US,43.784415700000004,-75.44903992,"Lewis, New York, US",2020-01-22,0,0,2020,1,1
Livingston,New York,US,42.72596275,-77.77966158,"Livingston, New York, US",2020-01-22,0,0,2020,1,1
Madison,New York,US,42.91653905,-75.67266639,"Madison, New York, US",2020-01-22,0,0,2020,1,1
Monroe,New York,US,43.14638895,-77.69322942,"Monroe, New York, US",2020-01-22,0,0,2020,1,1
Montgomery,New York,US,42.90123494,-74.44011632,"Montgomery, New York, US",2020-01-22,0,0,2020,1,1
Nassau,New York,US,40.74066522,-73.58941873,"Nassau, New York, US",2020-01-22,0,0,2020,1,1
New York,New York,US,40.767272600000005,-73.97152637,"New York City, New York, US",2020-01-22,0,0,2020,1,1
Niagara,New York,US,43.19898042,-78.74777412,"Niagara, New York, US",2020-01-22,0,0,2020,1,1
Oneida,New York,US,43.24375382,-75.43710392,"Oneida, New York, US",2020-01-22,0,0,2020,1,1
Onondaga,New York,US,43.00491923,-76.19971155,"Onondaga, New York, US",2020-01-22,0,0,2020,1,1
Ontario,New York,US,42.85145728,-77.30874425,"Ontario, New York, US",2020-01-22,0,0,2020,1,1
Orange,New York,US,41.40337468,-74.30240757,"Orange, New York, US",2020-01-22,0,0,2020,1,1
Orleans,New York,US,43.2516977,-78.2320066,"Orleans, New York, US",2020-01-22,0,0,2020,1,1
Oswego,New York,US,43.42778894,-76.14635194,"Oswego, New York, US",2020-01-22,0,0,2020,1,1
Otsego,New York,US,42.63492579,-75.03151402,"Otsego, New York, US",2020-01-22,0,0,2020,1,1
Putnam,New York,US,41.42630093,-73.74965532,"Putnam, New York, US",2020-01-22,0,0,2020,1,1
Queens,New York,US,40.71088124,-73.81684712,"Queens, New York, US",2020-01-22,0,0,2020,1,1
