,SupplierTransactionID,SupplierID,PurchaseOrderID,SupplierInvoiceNumber,TransactionDate,AmountExcludingTax,TaxAmount,TransactionAmount,OutstandingBalance,FinalizationDate,IsFinalized
0,134,2,1.0,7290.0,2016-11-02,112860.0,16930.8,129790.79999999999,0.0,2016-11-07,1
1,169,4,2.0,3898.0,2016-11-02,7823520.0,1173528.0,8997048.0,0.0,2016-11-07,1
2,186,5,3.0,616.0,2016-11-02,986580.0,147999.6,1134579.6,0.0,2016-11-07,1
3,215,7,4.0,3869.0,2016-11-02,15293231.999999998,2293988.4,17587220.4,0.0,2016-11-07,1
4,224,10,5.0,4697.0,2016-11-02,12624300.0,1893650.4000000001,14517950.4,0.0,2016-11-07,1
5,230,12,6.0,1375.0,2016-11-02,1990260.0,298540.8,2288800.8,0.0,2016-11-07,1
6,565,4,7.0,3261.0,2016-11-03,3600180.0,540028.7999999999,4140208.8,0.0,2016-11-07,1
7,570,5,8.0,1762.0,2016-11-03,236520.0,35481.6,272001.6,0.0,2016-11-07,1
8,588,7,9.0,9301.0,2016-11-03,3341340.0,501206.4,3842546.4,0.0,2016-11-07,1
9,590,10,10.0,1853.0,2016-11-03,373500.0,56026.799999999996,429526.80000000005,0.0,2016-11-07,1
10,594,12,11.0,8170.0,2016-11-03,7153020.0,1072954.8,8225974.8,0.0,2016-11-07,1
11,932,4,12.0,5075.0,2016-11-04,2398140.0,359722.8,2757862.8,0.0,2016-11-07,1
12,935,5,13.0,134.0,2016-11-04,93960.0,14094.0,108053.99999999999,0.0,2016-11-07,1
13,952,7,14.0,999.0,2016-11-04,5860602.0,879091.2000000001,6739693.199999999,0.0,2016-11-07,1
14,955,10,15.0,4943.0,2016-11-04,4797000.0,719550.0,5516550.0,0.0,2016-11-07,1
15,959,12,16.0,9907.0,2016-11-04,1356480.0,203472.00000000003,1559952.0,0.0,2016-11-07,1
16,1390,4,17.0,4291.0,2016-11-07,3170880.0,475632.0,3646512.0000000005,0.0,2016-11-07,1
